id,Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,"No. of confirmed, probable and suspected cases",No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,"No. of confirmed, probable and suspected deaths"
1240,Liberia,6/22/2015,5636,1879,3151,10666,,,,4806
1241,Spain,6/22/2015,0,0,1,1,0,0,0,0
1242,United Kingdom,6/22/2015,0,0,1,1,,,,0
1243,Italy,6/22/2015,0,0,1,1,,,,0
1244,Guinea,6/22/2015,16,428,3254,3698,,428,2028,2456
1245,Sierra Leone,6/22/2015,4107,287,8657,13051,158,208,3562,3928
1246,Mali,6/22/2015,0,1,7,8,,,,6
1247,United States of America,6/22/2015,0,0,4,4,0,0,1,1
1248,Nigeria,6/22/2015,0,1,19,20,0,1,7,8
1249,Senegal,6/22/2015,0,0,1,1,0,0,0,0
1250,Italy,6/23/2015,0,0,1,1,,,,0
1251,Sierra Leone,6/23/2015,4115,287,8657,13059,158,208,3562,3928
1252,Liberia,6/23/2015,5636,1879,3151,10666,,,,4806
1253,United Kingdom,6/23/2015,0,0,1,1,,,,0
1254,Nigeria,6/23/2015,0,1,19,20,0,1,7,8
1255,Senegal,6/23/2015,0,0,1,1,0,0,0,0
1256,United States of America,6/23/2015,0,0,4,4,0,0,1,1
1257,Spain,6/23/2015,0,0,1,1,0,0,0,0
1258,Mali,6/23/2015,0,1,7,8,,,,6
1259,Guinea,6/23/2015,18,443,3257,3718,,443,2030,2473
1260,United States of America,6/24/2015,0,0,4,4,0,0,1,1
1261,Sierra Leone,6/24/2015,4115,287,8657,13059,158,208,3562,3928
1262,Senegal,6/24/2015,0,0,1,1,0,0,0,0
1263,United Kingdom,6/24/2015,0,0,1,1,,,,0
1264,Guinea,6/24/2015,18,443,3257,3718,,443,2030,2473
1265,Liberia,6/24/2015,5636,1879,3151,10666,,,,4806
1266,Mali,6/24/2015,0,1,7,8,,,,6
1267,Italy,6/24/2015,0,0,1,1,,,,0
1268,Nigeria,6/24/2015,0,1,19,20,0,1,7,8
1269,Spain,6/24/2015,0,0,1,1,0,0,0,0
1270,Nigeria,6/25/2015,0,1,19,20,0,1,7,8
1271,Sierra Leone,6/25/2015,4136,287,8660,13083,158,208,3565,3931
1272,Senegal,6/25/2015,0,0,1,1,0,0,0,0
1273,Mali,6/25/2015,0,1,7,8,,,,6
1274,Spain,6/25/2015,0,0,1,1,0,0,0,0
1275,United Kingdom,6/25/2015,0,0,1,1,,,,0
1276,Liberia,6/25/2015,5636,1879,3151,10666,,,,4806
1277,United States of America,6/25/2015,0,0,4,4,0,0,1,1
1278,Guinea,6/25/2015,11,443,3264,3718,,443,2037,2480
1279,Italy,6/25/2015,0,0,1,1,,,,0
1280,Guinea,6/26/2015,11,443,3266,3720,,443,2037,2480
1281,Spain,6/26/2015,0,0,1,1,0,0,0,0
1282,Senegal,6/26/2015,0,0,1,1,0,0,0,0
1283,Italy,6/26/2015,0,0,1,1,,,,0
1284,Sierra Leone,6/26/2015,4144,287,8662,13093,158,208,3565,3931
1285,Liberia,6/26/2015,5636,1879,3151,10666,,,,4806
1286,United Kingdom,6/26/2015,0,0,1,1,,,,0
1287,Mali,6/26/2015,0,1,7,8,,,,6
1288,Nigeria,6/26/2015,0,1,19,20,0,1,7,8
1289,United States of America,6/26/2015,0,0,4,4,0,0,1,1
1290,Senegal,6/29/2015,0,0,1,1,0,0,0,0
1291,United Kingdom,6/29/2015,0,0,1,1,,,,0
1292,Nigeria,6/29/2015,0,1,19,20,0,1,7,8
1293,Guinea,6/29/2015,13,443,3268,3724,,443,2039,2482
1294,Sierra Leone,6/29/2015,4164,287,8664,13115,158,208,3566,3932
1295,Mali,6/29/2015,0,1,7,8,,,,6
1296,Spain,6/29/2015,0,0,1,1,0,0,0,0
1297,Liberia,6/29/2015,5636,1879,3151,10666,,,,4806
1298,United States of America,6/29/2015,0,0,4,4,0,0,1,1
1299,Italy,6/29/2015,0,0,1,1,,,,0
1300,United Kingdom,6/30/2015,0,0,1,1,,,,0
1301,Mali,6/30/2015,0,1,7,8,,,,6
1302,Liberia,6/30/2015,5636,1879,3151,10666,,,,4806
1303,Sierra Leone,6/30/2015,4167,287,8665,13119,158,208,3566,3932
1304,Italy,6/30/2015,0,0,1,1,,,,0
1305,Senegal,6/30/2015,0,0,1,1,0,0,0,0
1306,Guinea,6/30/2015,17,443,3269,3729,,443,2039,2482
1307,Spain,6/30/2015,0,0,1,1,0,0,0,0
1308,Nigeria,6/30/2015,0,1,19,20,0,1,7,8
1309,United States of America,6/30/2015,0,0,4,4,0,0,1,1
