id,Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,"No. of confirmed, probable and suspected cases",No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,"No. of confirmed, probable and suspected deaths"
1817,United States of America,9/3/2015,0,0,4,4,0,0,1,1
1818,Guinea,9/3/2015,2,452,3338,3792,,452,2077,2529
1819,Senegal,9/3/2015,0,0,1,1,0,0,0,0
1820,United Kingdom,9/3/2015,0,0,1,1,,,,0
1821,Liberia,9/3/2015,5636,1879,3151,10666,,,,4806
1822,Nigeria,9/3/2015,0,1,19,20,0,1,7,8
1823,Liberia,9/3/2015,,0,6,6,,,2,2
1824,Sierra Leone,9/3/2015,4653,287,8698,13638,158,208,3587,3953
1825,Spain,9/4/2015,0,0,1,1,0,0,0,0
1826,United States of America,9/4/2015,0,0,4,4,0,0,1,1
1827,Italy,9/4/2015,0,0,1,1,,,,0
1828,Liberia,9/4/2015,5636,1879,3151,10666,,,,4806
1829,Senegal,9/4/2015,0,0,1,1,0,0,0,0
1830,Nigeria,9/4/2015,0,1,19,20,0,1,7,8
1831,Guinea,9/4/2015,2,452,3338,3792,,452,2077,2529
1832,Sierra Leone,9/4/2015,4654,287,8698,13639,158,208,3587,3953
1833,Liberia,9/4/2015,,0,6,6,,,2,2
1834,United Kingdom,9/4/2015,0,0,1,1,,,,0
1835,Mali,9/4/2015,0,1,7,8,,,,6
1836,Nigeria,9/7/2015,0,1,19,20,0,1,7,8
1837,Mali,9/7/2015,0,1,7,8,,,,6
1838,Guinea,9/7/2015,3,452,3338,3793,,452,2078,2530
1839,Liberia,9/7/2015,,0,6,6,,,2,2
1840,Senegal,9/7/2015,0,0,1,1,0,0,0,0
1841,Italy,9/7/2015,0,0,1,1,,,,0
1842,Spain,9/7/2015,0,0,1,1,0,0,0,0
1843,United States of America,9/7/2015,0,0,4,4,0,0,1,1
1844,United Kingdom,9/7/2015,0,0,1,1,,,,0
1845,Sierra Leone,9/7/2015,4684,287,8699,13670,158,208,3587,3953
1846,Liberia,9/7/2015,5636,1879,3151,10666,,,,4806
1847,Senegal,9/8/2015,0,0,1,1,0,0,0,0
1848,Liberia,9/8/2015,,0,6,6,,,2,2
1849,Nigeria,9/8/2015,0,1,19,20,0,1,7,8
1850,Guinea,9/8/2015,2,452,3338,3792,,452,2078,2530
1851,United States of America,9/8/2015,0,0,4,4,0,0,1,1
1852,Sierra Leone,9/8/2015,4697,287,8699,13683,158,208,3587,3953
1853,United Kingdom,9/8/2015,0,0,1,1,,,,0
1854,Mali,9/8/2015,0,1,7,8,,,,6
1855,Italy,9/8/2015,0,0,1,1,,,,0
1856,Liberia,9/8/2015,5636,1879,3151,10666,,,,4806
1857,Spain,9/8/2015,0,0,1,1,0,0,0,0
1858,Sierra Leone,9/9/2015,4697,287,8699,13683,158,208,3587,3953
1859,Italy,9/9/2015,0,0,1,1,,,,0
1860,United Kingdom,9/9/2015,0,0,1,1,,,,0
1861,Senegal,9/9/2015,0,0,1,1,0,0,0,0
1862,Guinea,9/9/2015,2,452,3338,3792,,452,2078,2530
1863,Liberia,9/9/2015,5636,1879,3151,10666,,,,4806
1864,United States of America,9/9/2015,0,0,4,4,0,0,1,1
1865,Liberia,9/9/2015,,,6,6,,,2,2
1866,Mali,9/9/2015,0,1,7,8,,,,6
1867,Spain,9/9/2015,0,0,1,1,0,0,0,0
1868,Nigeria,9/9/2015,0,1,19,20,0,1,7,8
1869,Nigeria,9/10/2015,0,1,19,20,0,1,7,8
1870,Guinea,9/10/2015,1,452,3338,3791,,452,2078,2530
1871,Liberia,9/10/2015,,0,6,6,,,2,2
1872,Sierra Leone,9/10/2015,4708,287,8702,13697,158,208,3587,3953
1873,Italy,9/10/2015,0,0,1,1,,,,0
1874,United States of America,9/10/2015,0,0,4,4,0,0,1,1
1875,Liberia,9/10/2015,5636,1879,3151,10666,,,,4806
1876,United Kingdom,9/10/2015,0,0,1,1,,,,0
1877,Spain,9/10/2015,0,0,1,1,0,0,0,0
1878,Mali,9/10/2015,0,1,7,8,,,,6
1879,Senegal,9/10/2015,0,0,1,1,0,0,0,0
1880,Sierra Leone,9/11/2015,4711,287,8703,13701,158,208,3587,3953
1881,Nigeria,9/11/2015,0,1,19,20,0,1,7,8
1882,Mali,9/11/2015,0,1,7,8,,,,6
1883,Liberia,9/11/2015,5636,1879,3151,10666,,,,4806
1884,Italy,9/11/2015,0,0,1,1,,,,0
1885,Guinea,9/11/2015,1,452,3338,3791,,452,2078,2530
1886,Liberia,9/11/2015,,0,6,6,,,2,2
1887,United States of America,9/11/2015,0,0,4,4,0,0,1,1
1888,Spain,9/11/2015,0,0,1,1,0,0,0,0
1889,Senegal,9/11/2015,0,0,1,1,0,0,0,0
1890,United Kingdom,9/11/2015,0,0,1,1,,,,0
1891,Spain,9/14/2015,0,0,1,1,0,0,0,0
1892,Liberia,9/14/2015,,0,6,6,,,2,2
1893,Senegal,9/14/2015,0,0,1,1,0,0,0,0
1894,Italy,9/14/2015,0,0,1,1,,,,0
1895,Guinea,9/14/2015,3,452,3338,3793,,452,2078,2530
1896,Nigeria,9/14/2015,0,1,19,20,0,1,7,8
1897,Sierra Leone,9/14/2015,4757,287,8703,13747,158,208,3587,3953
1898,United Kingdom,9/14/2015,0,0,1,1,,,,0
1899,United States of America,9/14/2015,0,0,4,4,0,0,1,1
1900,Liberia,9/14/2015,5636,1879,3151,10666,,,,4806
1901,Mali,9/14/2015,0,1,7,8,,,,6
1902,Senegal,9/15/2015,0,0,1,1,0,0,0,0
1903,Italy,9/15/2015,0,0,1,1,,,,0
1904,United States of America,9/15/2015,0,0,4,4,0,0,1,1
1905,Spain,9/15/2015,0,0,1,1,0,0,0,0
1906,Sierra Leone,9/15/2015,4765,287,8704,13756,158,208,3587,3953
1907,United Kingdom,9/15/2015,0,0,1,1,,,,0
1908,Nigeria,9/15/2015,0,1,19,20,0,1,7,8
1909,Liberia,9/15/2015,5636,1879,3151,10666,,,,4806
1910,Guinea,9/15/2015,2,452,3338,3792,,452,2078,2530
1911,Mali,9/15/2015,0,1,7,8,,,,6
1912,Liberia,9/15/2015,,0,6,6,,,2,2
1913,Guinea,9/16/2015,2,452,3338,3792,,452,2078,2530
1914,Liberia,9/16/2015,5636,1879,3151,10666,,,,4806
1915,Senegal,9/16/2015,0,0,1,1,0,0,0,0
1916,United Kingdom,9/16/2015,0,0,1,1,,,,0
1917,Spain,9/16/2015,0,0,1,1,0,0,0,0
1918,Italy,9/16/2015,0,0,1,1,,,,0
1919,Mali,9/16/2015,0,1,7,8,,,,6
1920,United States of America,9/16/2015,0,0,4,4,0,0,1,1
1921,Liberia,9/16/2015,,,6,6,,,2,2
1922,Sierra Leone,9/16/2015,4765,287,8704,13756,158,208,3587,3953
1923,Nigeria,9/16/2015,0,1,19,20,0,1,7,8
1924,Sierra Leone,9/17/2015,4788,287,8704,13779,158,208,3589,3955
1925,Liberia,9/17/2015,,0,6,6,,,2,2
1926,Mali,9/17/2015,0,1,7,8,,,,6
1927,Spain,9/17/2015,0,0,1,1,0,0,0,0
1928,Senegal,9/17/2015,0,0,1,1,0,0,0,0
1929,Guinea,9/17/2015,4,452,3338,3794,,452,2078,2530
1930,Liberia,9/17/2015,5636,1879,3151,10666,,,,4806
1931,United States of America,9/17/2015,0,0,4,4,0,0,1,1
1932,Nigeria,9/17/2015,0,1,19,20,0,1,7,8
1933,United Kingdom,9/17/2015,0,0,1,1,,,,0
1934,Italy,9/17/2015,0,0,1,1,,,,0
1935,Liberia,9/18/2015,,0,6,6,,,2,2
1936,Senegal,9/18/2015,0,0,1,1,0,0,0,0
1937,Nigeria,9/18/2015,0,1,19,20,0,1,7,8
1938,United Kingdom,9/18/2015,0,0,1,1,,,,0
1939,Liberia,9/18/2015,5636,1879,3151,10666,,,,4806
1940,Spain,9/18/2015,0,0,1,1,0,0,0,0
1941,Mali,9/18/2015,0,1,7,8,,,,6
1942,United States of America,9/18/2015,0,0,4,4,0,0,1,1
1943,Guinea,9/18/2015,3,452,3339,3794,,452,2079,2531
1944,Sierra Leone,9/18/2015,4794,287,8704,13785,158,208,3589,3955
1945,Italy,9/18/2015,0,0,1,1,,,,0
1946,Liberia,9/21/2015,5636,1879,3151,10666,,,,4806
1947,Nigeria,9/21/2015,0,1,19,20,0,1,7,8
1948,Mali,9/21/2015,0,1,7,8,,,,6
1949,United Kingdom,9/21/2015,0,0,1,1,,,,0
1950,Guinea,9/21/2015,4,453,3340,3797,,453,2079,2532
1951,Senegal,9/21/2015,0,0,1,1,0,0,0,0
1952,United States of America,9/21/2015,0,0,4,4,0,0,1,1
1953,Liberia,9/21/2015,,0,6,6,,,2,2
1954,Italy,9/21/2015,0,0,1,1,,,,0
1955,Sierra Leone,9/21/2015,4820,287,8704,13811,158,208,3589,3955
1956,Spain,9/21/2015,0,0,1,1,0,0,0,0
1957,Nigeria,9/22/2015,0,1,19,20,0,1,7,8
1958,Italy,9/22/2015,0,0,1,1,,,,0
1959,United States of America,9/22/2015,0,0,4,4,0,0,1,1
1960,Liberia,9/22/2015,,0,6,6,,,2,2
1961,Spain,9/22/2015,0,0,1,1,0,0,0,0
1962,Sierra Leone,9/22/2015,4832,287,8704,13823,158,208,3589,3955
1963,Mali,9/22/2015,0,1,7,8,,,,6
1964,United Kingdom,9/22/2015,0,0,1,1,,,,0
1965,Guinea,9/22/2015,7,453,3340,3800,,453,2079,2532
1966,Liberia,9/22/2015,5636,1879,3151,10666,,,,4806
1967,Senegal,9/22/2015,0,0,1,1,0,0,0,0
1968,Nigeria,9/23/2015,0,1,19,20,0,1,7,8
1969,Spain,9/23/2015,0,0,1,1,0,0,0,0
1970,United Kingdom,9/23/2015,0,0,1,1,,,,0
1971,Sierra Leone,9/23/2015,4832,287,8704,13823,158,208,3589,3955
1972,Liberia,9/23/2015,,,6,6,,,2,2
1973,Senegal,9/23/2015,0,0,1,1,0,0,0,0
1974,United States of America,9/23/2015,0,0,4,4,0,0,1,1
1975,Liberia,9/23/2015,5636,1879,3151,10666,,,,4806
1976,Mali,9/23/2015,0,1,7,8,,,,6
1977,Italy,9/23/2015,0,0,1,1,,,,0
1978,Guinea,9/23/2015,7,453,3340,3800,,453,2079,2532
1979,United Kingdom,9/24/2015,0,0,1,1,,,,0
1980,Nigeria,9/24/2015,0,1,19,20,0,1,7,8
1981,Guinea,9/24/2015,8,453,3340,3801,,453,2080,2533
1982,Sierra Leone,9/24/2015,4855,287,8704,13846,158,208,3589,3955
1983,Liberia,9/24/2015,,0,6,6,,,2,2
1984,Italy,9/24/2015,0,0,1,1,,,,0
1985,Liberia,9/24/2015,5636,1879,3151,10666,,,,4806
1986,Senegal,9/24/2015,0,0,1,1,0,0,0,0
1987,United States of America,9/24/2015,0,0,4,4,0,0,1,1
1988,Spain,9/24/2015,0,0,1,1,0,0,0,0
1989,Mali,9/24/2015,0,1,7,8,,,,6
1990,Guinea,9/25/2015,4,453,3340,3797,,453,2080,2533
1991,United States of America,9/25/2015,0,0,4,4,0,0,1,1
1992,Senegal,9/25/2015,0,0,1,1,0,0,0,0
1993,Sierra Leone,9/25/2015,4864,287,8704,13855,158,208,3589,3955
1994,Liberia,9/25/2015,5636,1879,3151,10666,,,,4806
1995,United Kingdom,9/25/2015,0,0,1,1,,,,0
1996,Mali,9/25/2015,0,1,7,8,,,,6
1997,Italy,9/25/2015,0,0,1,1,,,,0
1998,Spain,9/25/2015,0,0,1,1,0,0,0,0
1999,Liberia,9/25/2015,,0,6,6,,,2,2
2000,Nigeria,9/25/2015,0,1,19,20,0,1,7,8
2001,Liberia,9/28/2015,5636,1879,3151,10666,,,,4806
2002,Spain,9/28/2015,0,0,1,1,0,0,0,0
2003,Sierra Leone,9/28/2015,4903,287,8704,13894,158,208,3589,3955
2004,Liberia,9/28/2015,,0,6,6,,,2,2
2005,United States of America,9/28/2015,0,0,4,4,0,0,1,1
2006,Mali,9/28/2015,0,1,7,8,,,,6
2007,Senegal,9/28/2015,0,0,1,1,0,0,0,0
2008,Italy,9/28/2015,0,0,1,1,,,,0
2009,Guinea,9/28/2015,10,453,3342,3805,,453,2080,2533
2010,Nigeria,9/28/2015,0,1,19,20,0,1,7,8
2011,United Kingdom,9/28/2015,0,0,1,1,,,,0
2012,Sierra Leone,9/29/2015,4920,287,8704,13911,158,208,3589,3955
2013,Liberia,9/29/2015,,0,6,6,,,2,2
2014,Liberia,9/29/2015,5636,1879,3151,10666,,,,4806
2015,United States of America,9/29/2015,0,0,4,4,0,0,1,1
2016,Spain,9/29/2015,0,0,1,1,0,0,0,0
2017,Nigeria,9/29/2015,0,1,19,20,0,1,7,8
2018,Mali,9/29/2015,0,1,7,8,,,,6
2019,Senegal,9/29/2015,0,0,1,1,0,0,0,0
2020,Italy,9/29/2015,0,0,1,1,,,,0
2021,Guinea,9/29/2015,8,453,3344,3805,,453,2080,2533
2022,United Kingdom,9/29/2015,0,0,1,1,,,,0
2023,United States of America,9/30/2015,0,0,4,4,0,0,1,1
2024,Mali,9/30/2015,0,1,7,8,,,,6
2025,Sierra Leone,9/30/2015,4920,287,8704,13911,158,208,3589,3955
2026,Liberia,9/30/2015,5636,1879,3151,10666,,,,4806
2027,Italy,9/30/2015,0,0,1,1,,,,0
2028,Nigeria,9/30/2015,0,1,19,20,0,1,7,8
2029,Senegal,9/30/2015,0,0,1,1,0,0,0,0
2030,Guinea,9/30/2015,8,453,3344,3805,,453,2080,2533
2031,Spain,9/30/2015,0,0,1,1,0,0,0,0
2032,United Kingdom,9/30/2015,0,0,1,1,,,,0
2033,Liberia,9/30/2015,,,6,6,,,2,2
2034,Liberia,10/1/2015,5636,1879,3151,10666,,,,4806
2035,Italy,10/1/2015,0,0,1,1,,,,0
2036,United Kingdom,10/1/2015,0,0,1,1,,,,0
2037,Guinea,10/1/2015,11,453,3344,3808,,453,2080,2533
2038,Mali,10/1/2015,0,1,7,8,,,,6
2039,United States of America,10/1/2015,0,0,4,4,0,0,1,1
2040,Spain,10/1/2015,0,0,1,1,0,0,0,0
2041,Liberia,10/1/2015,,0,6,6,,,2,2
2042,Nigeria,10/1/2015,0,1,19,20,0,1,7,8
2043,Sierra Leone,10/1/2015,4937,287,8704,13928,158,208,3589,3955
2044,Senegal,10/1/2015,0,0,1,1,0,0,0,0
2045,Senegal,10/2/2015,0,0,1,1,0,0,0,0
2046,United States of America,10/2/2015,0,0,4,4,0,0,1,1
2047,Nigeria,10/2/2015,0,1,19,20,0,1,7,8
2048,Mali,10/2/2015,0,1,7,8,,,,6
2049,Spain,10/2/2015,0,0,1,1,0,0,0,0
2050,Guinea,10/2/2015,12,453,3344,3809,,453,2080,2533
2051,Italy,10/2/2015,0,0,1,1,,,,0
2052,Liberia,10/2/2015,5636,1879,3151,10666,,,,4806
2053,Liberia,10/2/2015,,0,6,6,,,2,2
2054,United Kingdom,10/2/2015,0,0,1,1,,,,0
2055,Sierra Leone,10/2/2015,4940,287,8704,13931,158,208,3589,3955
2056,Guinea,10/5/2015,7,453,3344,3804,,453,2081,2534
2057,United States of America,10/5/2015,0,0,4,4,0,0,1,1
2058,United Kingdom,10/5/2015,0,0,1,1,,,,0
2059,Italy,10/5/2015,0,0,1,1,,,,0
2060,Liberia,10/5/2015,5636,1879,3151,10666,,,,4806
2061,Spain,10/5/2015,0,0,1,1,0,0,0,0
2062,Senegal,10/5/2015,0,0,1,1,0,0,0,0
2063,Sierra Leone,10/5/2015,4950,287,8704,13941,158,208,3589,3955
2064,Liberia,10/5/2015,,0,6,6,,,2,2
2065,Nigeria,10/5/2015,0,1,19,20,0,1,7,8
2066,Mali,10/5/2015,0,1,7,8,,,,6
2067,United Kingdom,10/6/2015,0,0,1,1,,,,0
2068,Liberia,10/6/2015,,0,6,6,,,2,2
2069,Senegal,10/6/2015,0,0,1,1,0,0,0,0
2070,Italy,10/6/2015,0,0,1,1,,,,0
2071,Mali,10/6/2015,0,1,7,8,,,,6
2072,Spain,10/6/2015,0,0,1,1,0,0,0,0
2073,Sierra Leone,10/6/2015,4954,287,8704,13945,158,208,3589,3955
2074,United States of America,10/6/2015,0,0,4,4,0,0,1,1
2075,Guinea,10/6/2015,7,453,3344,3804,,453,2081,2534
2076,Nigeria,10/6/2015,0,1,19,20,0,1,7,8
2077,Liberia,10/6/2015,5636,1879,3151,10666,,,,4806
2078,Guinea,10/7/2015,7,453,3344,3804,,453,2081,2534
2079,Mali,10/7/2015,0,1,7,8,,,,6
2080,Sierra Leone,10/7/2015,4954,287,8704,13945,158,208,3589,3955
2081,Nigeria,10/7/2015,0,1,19,20,0,1,7,8
2082,Liberia,10/7/2015,,,6,6,,,2,2
2083,Italy,10/7/2015,0,0,1,1,,,,0
2084,United States of America,10/7/2015,0,0,4,4,0,0,1,1
2085,Liberia,10/7/2015,5636,1879,3151,10666,,,,4806
2086,United Kingdom,10/7/2015,0,0,1,1,,,,0
2087,Spain,10/7/2015,0,0,1,1,0,0,0,0
2088,Senegal,10/7/2015,0,0,1,1,0,0,0,0
2089,Italy,10/8/2015,0,0,1,1,,,,0
2090,Liberia,10/8/2015,,0,6,6,,,2,2
2091,Guinea,10/8/2015,2,453,3344,3799,,453,2081,2534
2092,Liberia,10/8/2015,5636,1879,3151,10666,,,,4806
2093,United Kingdom,10/8/2015,0,0,1,1,,,,0
2094,Senegal,10/8/2015,0,0,1,1,0,0,0,0
2095,Nigeria,10/8/2015,0,1,19,20,0,1,7,8
2096,Mali,10/8/2015,0,1,7,8,,,,6
2097,United States of America,10/8/2015,0,0,4,4,0,0,1,1
2098,Sierra Leone,10/8/2015,4965,287,8704,13956,158,208,3589,3955
2099,Spain,10/8/2015,0,0,1,1,0,0,0,0
2100,Spain,10/9/2015,0,0,1,1,0,0,0,0
2101,Nigeria,10/9/2015,0,1,19,20,0,1,7,8
2102,Sierra Leone,10/9/2015,4966,287,8704,13957,158,208,3589,3955
2103,United Kingdom,10/9/2015,0,0,1,1,,,,0
2104,Liberia,10/9/2015,,0,6,6,,,2,2
2105,Liberia,10/9/2015,5636,1879,3151,10666,,,,4806
2106,Senegal,10/9/2015,0,0,1,1,0,0,0,0
2107,United States of America,10/9/2015,0,0,4,4,0,0,1,1
2108,Italy,10/9/2015,0,0,1,1,,,,0
2109,Guinea,10/9/2015,3,453,3344,3800,,453,2081,2534
2110,Mali,10/9/2015,0,1,7,8,,,,6
2111,United Kingdom,10/13/2015,0,0,1,1,,,,0
2112,Liberia,10/13/2015,5636,1879,3151,10666,,,,4806
2113,Italy,10/13/2015,0,0,1,1,,,,0
2114,Sierra Leone,10/13/2015,4991,287,8704,13982,158,208,3589,3955
2115,Liberia,10/13/2015,,0,6,6,,,2,2
2116,Nigeria,10/13/2015,0,1,19,20,0,1,7,8
2117,Spain,10/13/2015,0,0,1,1,0,0,0,0
2118,Guinea,10/13/2015,3,453,3344,3800,,453,2081,2534
2119,Senegal,10/13/2015,0,0,1,1,0,0,0,0
2120,United States of America,10/13/2015,0,0,4,4,0,0,1,1
2121,Mali,10/13/2015,0,1,7,8,,,,6
2122,United Kingdom,10/15/2015,0,0,1,1,,,,0
2123,Liberia,10/15/2015,5636,1879,3151,10666,,,,4806
2124,Senegal,10/15/2015,0,0,1,1,0,0,0,0
2125,Guinea,10/15/2015,4,453,3345,3802,,453,2081,2534
2126,Mali,10/15/2015,0,1,7,8,,,,6
2127,Spain,10/15/2015,0,0,1,1,0,0,0,0
2128,Nigeria,10/15/2015,0,1,19,20,0,1,7,8
2129,Sierra Leone,10/15/2015,5001,287,8704,13992,158,208,3589,3955
2130,Italy,10/15/2015,0,0,1,1,,,,0
2131,Liberia,10/15/2015,,0,6,6,,,2,2
2132,United States of America,10/15/2015,0,0,4,4,0,0,1,1
2133,United States of America,10/16/2015,0,0,4,4,0,0,1,1
2134,Liberia,10/16/2015,5636,1879,3151,10666,,,,4806
2135,Senegal,10/16/2015,0,0,1,1,0,0,0,0
2136,Italy,10/16/2015,0,0,1,1,,,,0
2137,Liberia,10/16/2015,,0,6,6,,,2,2
2138,Mali,10/16/2015,0,1,7,8,,,,6
2139,Sierra Leone,10/16/2015,5001,287,8704,13992,158,208,3589,3955
2140,Guinea,10/16/2015,5,453,3346,3804,,453,2082,2535
2141,Nigeria,10/16/2015,0,1,19,20,0,1,7,8
2142,Spain,10/16/2015,0,0,1,1,0,0,0,0
2143,United Kingdom,10/16/2015,0,0,1,1,,,,0
2144,Italy,10/20/2015,0,0,1,1,,,,0
2145,Nigeria,10/20/2015,0,1,19,20,0,1,7,8
2146,Senegal,10/20/2015,0,0,1,1,0,0,0,0
2147,United States of America,10/20/2015,0,0,4,4,0,0,1,1
2148,Guinea,10/20/2015,3,453,3347,3803,,453,2082,2535
2149,Sierra Leone,10/20/2015,5010,287,8704,14001,158,208,3589,3955
2150,United Kingdom,10/20/2015,0,0,1,1,,,,0
2151,Spain,10/20/2015,0,0,1,1,0,0,0,0
2152,Liberia,10/20/2015,,0,6,6,,,2,2
2153,Liberia,10/20/2015,5636,1879,3151,10666,,,,4806
2154,Mali,10/20/2015,0,1,7,8,,,,6
2155,Liberia,10/22/2015,,0,6,6,,,2,2
2156,Spain,10/22/2015,0,0,1,1,0,0,0,0
2157,Italy,10/22/2015,0,0,1,1,,,,0
2158,Nigeria,10/22/2015,0,1,19,20,0,1,7,8
2159,Liberia,10/22/2015,5636,1879,3151,10666,,,,4806
2160,Sierra Leone,10/22/2015,5040,287,8704,14031,158,208,3589,3955
2161,United Kingdom,10/22/2015,0,0,1,1,,,,0
2162,Senegal,10/22/2015,0,0,1,1,0,0,0,0
2163,Guinea,10/22/2015,1,453,3347,3801,,453,2082,2535
2164,Mali,10/22/2015,0,1,7,8,,,,6
2165,United States of America,10/22/2015,0,0,4,4,0,0,1,1
2166,Mali,10/23/2015,0,1,7,8,,,,6
2167,Nigeria,10/23/2015,0,1,19,20,0,1,7,8
2168,Senegal,10/23/2015,0,0,1,1,0,0,0,0
2169,United Kingdom,10/23/2015,0,0,1,1,,,,0
2170,Guinea,10/23/2015,1,453,3347,3801,,453,2082,2535
2171,Spain,10/23/2015,0,0,1,1,0,0,0,0
2172,Liberia,10/23/2015,5636,1879,3151,10666,,,,4806
2173,United States of America,10/23/2015,0,0,4,4,0,0,1,1
2174,Liberia,10/23/2015,,0,6,6,,,2,2
2175,Sierra Leone,10/23/2015,5047,287,8704,14038,158,208,3589,3955
2176,Italy,10/23/2015,0,0,1,1,,,,0
2177,Sierra Leone,10/26/2015,5061,287,8704,14052,158,208,3589,3955
2178,Guinea,10/26/2015,1,453,3350,3804,,453,2082,2535
2179,Italy,10/26/2015,0,0,1,1,,,,0
2180,United Kingdom,10/26/2015,0,0,1,1,,,,0
2181,United States of America,10/26/2015,0,0,4,4,0,0,1,1
2182,Senegal,10/26/2015,0,0,1,1,0,0,0,0
2183,Spain,10/26/2015,0,0,1,1,0,0,0,0
2184,Liberia,10/26/2015,5636,1879,3151,10666,,,,4806
2185,Nigeria,10/26/2015,0,1,19,20,0,1,7,8
2186,Mali,10/26/2015,0,1,7,8,,,,6
2187,Liberia,10/26/2015,,,6,6,,,2,2
2188,Liberia,10/27/2015,,,6,6,,,2,2
2189,Mali,10/27/2015,0,1,7,8,,,,6
2190,Guinea,10/27/2015,3,453,3350,3806,,453,2082,2535
2191,United Kingdom,10/27/2015,0,0,1,1,,,,0
2192,Sierra Leone,10/27/2015,5070,287,8704,14061,158,208,3589,3955
2193,Spain,10/27/2015,0,0,1,1,0,0,0,0
2194,Senegal,10/27/2015,0,0,1,1,0,0,0,0
2195,Italy,10/27/2015,0,0,1,1,,,,0
2196,Nigeria,10/27/2015,0,1,19,20,0,1,7,8
2197,United States of America,10/27/2015,0,0,4,4,0,0,1,1
2198,Liberia,10/27/2015,5636,1879,3151,10666,,,,4806
2199,Sierra Leone,10/29/2015,5075,287,8704,14066,158,208,3589,3955
2200,Nigeria,10/29/2015,0,1,19,20,0,1,7,8
2201,Guinea,10/29/2015,5,453,3350,3808,,453,2083,2536
2202,Liberia,10/29/2015,,,6,6,,,2,2
2203,Italy,10/29/2015,0,0,1,1,,,,0
2204,United Kingdom,10/29/2015,0,0,1,1,,,,0
2205,United States of America,10/29/2015,0,0,4,4,0,0,1,1
2206,Mali,10/29/2015,0,1,7,8,,,,6
2207,Senegal,10/29/2015,0,0,1,1,0,0,0,0
2208,Spain,10/29/2015,0,0,1,1,0,0,0,0
2209,Liberia,10/29/2015,5636,1879,3151,10666,,,,4806
2210,Senegal,10/30/2015,0,0,1,1,0,0,0,0
2211,United Kingdom,10/30/2015,0,0,1,1,,,,0
2212,Nigeria,10/30/2015,0,1,19,20,0,1,7,8
2213,Italy,10/30/2015,0,0,1,1,,,,0
2214,Spain,10/30/2015,0,0,1,1,0,0,0,0
2215,Sierra Leone,10/30/2015,5076,287,8704,14067,158,208,3589,3955
2216,Liberia,10/30/2015,5636,1879,3151,10666,,,,4806
2217,Liberia,10/30/2015,,,6,6,,,2,2
2218,United States of America,10/30/2015,0,0,4,4,0,0,1,1
2219,Mali,10/30/2015,0,1,7,8,,,,6
2220,Guinea,10/30/2015,5,453,3350,3808,,453,2083,2536
2221,Nigeria,11/3/2015,0,1,19,20,0,1,7,8
2222,Sierra Leone,11/3/2015,5098,287,8704,14089,158,208,3589,3955
2223,Liberia,11/3/2015,,,6,6,,,2,2
2224,United States of America,11/3/2015,0,0,4,4,0,0,1,1
2225,Mali,11/3/2015,0,1,7,8,,,,6
2226,Guinea,11/3/2015,6,453,3351,3810,,453,2083,2536
2227,United Kingdom,11/3/2015,0,0,1,1,,,,0
2228,Liberia,11/3/2015,5636,1879,3151,10666,,,,4806
2229,Spain,11/3/2015,0,0,1,1,0,0,0,0
2230,Senegal,11/3/2015,0,0,1,1,0,0,0,0
2231,Italy,11/3/2015,0,0,1,1,,,,0
2232,Nigeria,11/5/2015,0,1,19,20,0,1,7,8
2233,United Kingdom,11/5/2015,0,0,1,1,,,,0
2234,Mali,11/5/2015,0,1,7,8,,,,6
2235,Senegal,11/5/2015,0,0,1,1,0,0,0,0
2236,Liberia,11/5/2015,,,6,6,,,2,2
2237,Sierra Leone,11/5/2015,5113,287,8704,14104,158,208,3589,3955
2238,Italy,11/5/2015,0,0,1,1,,,,0
2239,Spain,11/5/2015,0,0,1,1,0,0,0,0
2240,Liberia,11/5/2015,5636,1879,3151,10666,,,,4806
2241,United States of America,11/5/2015,0,0,4,4,0,0,1,1
2242,Guinea,11/5/2015,1,453,3351,3805,,453,2083,2536
2243,Italy,11/6/2015,0,0,1,1,,,,0
2244,United Kingdom,11/6/2015,0,0,1,1,,,,0
2245,Liberia,11/6/2015,5636,1879,3151,10666,,,,4806
2246,Sierra Leone,11/6/2015,5118,287,8704,14109,158,208,3589,3955
2247,United States of America,11/6/2015,0,0,4,4,0,0,1,1
2248,Liberia,11/6/2015,,,6,6,,,2,2
2249,Senegal,11/6/2015,0,0,1,1,0,0,0,0
2250,Guinea,11/6/2015,1,453,3351,3805,,453,2083,2536
2251,Mali,11/6/2015,0,1,7,8,,,,6
2252,Spain,11/6/2015,0,0,1,1,0,0,0,0
2253,Nigeria,11/6/2015,0,1,19,20,0,1,7,8
2254,United States of America,11/10/2015,0,0,4,4,0,0,1,1
2255,Nigeria,11/10/2015,0,1,19,20,0,1,7,8
2256,Guinea,11/10/2015,1,453,3351,3805,,453,2083,2536
2257,Italy,11/10/2015,0,0,1,1,,,,0
2258,Spain,11/10/2015,0,0,1,1,0,0,0,0
2259,Liberia,11/10/2015,5636,1879,3151,10666,,,,4806
2260,Senegal,11/10/2015,0,0,1,1,0,0,0,0
2261,United Kingdom,11/10/2015,0,0,1,1,,,,0
2262,Mali,11/10/2015,0,1,7,8,,,,6
